id,claim_text,where_found,category,status,action_taken,owner_decision,required_proof_before_publishing_as_fact
CR-11,"""91% utilizzo settimanale attivo""","lexflow-index.html; lexflow-faq.html stat card","Metrics","HELD - MARKED AS UNMEASURED","Kept visible with the same disclaimer","Owner asked for a verification path","Product analytics report with the definition of 'active' stated"
CR-12,"""< 5 min tempo medio di setup""","lexflow-index.html; lexflow-faq.html stat card","Metrics","HELD - MARKED AS UNMEASURED","Kept visible with the same disclaimer","Owner asked for a verification path","Timed onboarding study across a stated number of firms"
CR-13,"""Marco Rossi testimonial""","lexflow-index.html; lexflow-faq.html quote card","Testimonial","RELABELLED - NOT PUBLISHED AS A CLIENT QUOTE","Removed as a named testimonial; replaced by the illustrative-examples block with an explicit disclaimer that no real client testimonial is published","Ole 2026-09-13: present as examples of likely testimonials based on user experience of similar CRM implementations","Written consent plus real identity if a genuine testimonial is ever used. NOTE: 'Avv. Marco Rossi' also appears as a hardcoded demo lawyer in the a-Lexy build prompt, which is the likely origin of this name."
CR-14,"Testimonials: Avv. G. Parodi, L. Marchetti, Avv. C. Esposito, Luca B., Giulia C., Maria R. with 5-star ratings","lexflow-index.html testimonials section","Testimonial","RELABELLED - STAR RATINGS REMOVED","Star ratings stripped; named people replaced with 'Illustrative example' / 'Illustrative client experience'; section heading and disclaimer rewritten","Ole 2026-09-13: use illustrative examples instead of testimonials","Written consent per named person before any named testimonial is published"
CR-15,"""Verified impact from a live pilot"" heading","lexflow-index.html results section","Metrics","REWORDED + DISCLAIMER","Retitled 'Early indicators from our first pilot'; label changed to 'Early pilot indicators'; disclaimer added","Owner asked for a verification path (see verification-plan.md)","Same evidence set as CR-09..CR-12"
CR-16,"""under ten minutes"" onboarding claim","lexflow-faq.html faq_a3","Onboarding","PUBLISHED WITH QUALIFIER + FLAG","Kept the approved sentence; added a visible note that the figure is an onboarding estimate pending formal measurement; 'verify' tag shown","Owner flagged this claim for verification","Timed onboarding study"
CR-17,"""14 days free trial"" / ""No credit card required""","lexflow-index.html hero, problem section, intake form, intake heading","Commercial","RETAINED - REGISTERED","Left as published; register entry only","Not raised as a blocker by owner","Confirm the trial terms are live and honoured"
CR-18,"""POST /submit"" (Flowise) + ""Bot Alessia con Flowise""","aLexy LP copy - deliberately NOT copied into LexFlow","Integration","OUT OF SCOPE","Not carried over. Elisa posts to the CRM chatbot endpoint configured in assets/site-config.js (chatbotUrl). The Flask POST /submit intake is a separate path used by the CRM app.","Owner direction: rename assistant to Elisa","Confirm which endpoint Elisa should write to before go-live"
CR-19,"""Google Calendar sync"" / ""cloud storage"" / ""email + WhatsApp automated updates""","aLexy LP feature copy","Integration","DESCRIBED AS PLANNED ONLY","Stated as roadmap/planned in faq_a15, with an explicit line that Google Calendar sync is not shipping today and should not be relied on","Owner direction: verify roadmap before publication","Shipped feature + OAuth scope review before describing these as available"
CR-20,"""passwordless / token-secured URL""","lexflow-faq.html faq_a7","Access","PUBLISHED AS APPROVED + DESIGN QUESTIONS RAISED","Approved wording published. The article on matter tracking lists the decisions a firm must make: expiry, revocation, forwarded-link handling, logging, extra identity checks.","Owner-approved copy","Security review covering token expiry, revocation, forwarding and access logging"
CR-21,"""Internal notes are never visible to clients""","lexflow-index.html compliance text; lexflow-faq.html faq_a9 and faq_a10; privacy.html","Security","RETAINED - VERIFY AGAINST CODE","Left as published, consistent with approved copy","Not raised as a blocker by owner","Code-level confirmation against the CRM permission model"
CR-22,"""AI Add-on: contract analysis, litigation intelligence""","lexflow-faq.html faq_a17","Product","RESOLVED - CORRECTED","Replaced with approved capability list: legal research, case-context summaries, document-context summaries, analysis workflows","Owner-approved copy","Confirm which of these are shippable today"
CR-23,"""20+ integrations""","lexflow-faq.html faq_a14","Integrations","PUBLISHED WITH FLAG","Published as 20+ per owner decision; a visible note records that the figure is pending verification; a 'verify' tag is shown","Owner-approved copy","Integration list with status per integration"
CR-24,"Copied legal form wording (controller, processors, lawful basis, retention, marketing consent, cross-border transfer)","aLexy LP contact-form consent lines","Legal","NOT COPIED","Consent wording written from scratch in plain language. Not copied from the LP.","Owner direction: do not copy legal form wording until verified","Confirmed controller/processor roles, lawful basis, privacy URL, retention periods, marketing consent handling and actual data destination"
CR-25,"Assistant name drift: Alessia / a-Lexy / Lexy across site and widget assets","7 HTML files + assets/alessia-widget.js/.html + style.css + i18n.js + privacy.html + alexy-*.png","Branding","RESOLVED - CLOSED","Assistant renamed Elisa throughout. Legacy widget files removed (backed up in templates/pre-enrich-20260913/). Images renamed. Zero legacy occurrences remain in live pages.","Owner direction: rename assistant to Elisa","Closed"
CR-26,"Personal addresses in public page source: ms.okuneva@internet.ru and olesya00007@yahoo.com","lexflow-index.html hidden notify_email input (line ~190); intake JS payload (line ~414); visible contact link (line ~216)","Privacy","CORRECTED - ROOT FIX RECOMMENDED","Both replaced with the role address demo@lexflow.com. The recipient should ultimately move server-side so no address is shipped to the browser.","Owner asked where this is and how to fix it","Move the notification recipient into CRM/server configuration and remove the field from the public form"
